# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,-0.288624,-0.000000,0.000000,0.820993,-0.495337,-0.256358,0.291538,-0.066779,-0.048932,-0.000000,-0.000000,-4.799083,11.229301,-10.322594,4.336537,-0.692384,0.699907,0.000000,-0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.238416,0.288680,-0.213523,-0.346665,0.176703,0.117650,-0.111904,0.024632,-0.184906,0.390501,0.468278,-0.757163,0.161758,0.467664,-0.401191,0.093670,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.090803,-0.454370,0.078876,0.278794,-0.051755,-0.095665,0.063607,-0.012832,0.284829,-0.191450,-0.338414,0.870394,-2.014917,2.070484,-0.931109,0.154844,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.093551,0.451235,0.130818,-0.234210,-0.006827,0.070070,-0.041689,0.009221,-0.281908,-0.151862,0.262472,0.220399,0.123962,-0.582107,0.407895,-0.090181,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.242076,-0.284662,-0.296010,0.215702,-0.042588,-0.123897,0.159435,-0.048517,0.180927,0.408869,-0.378868,-1.158757,4.627117,-6.232534,3.500445,-0.699156,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
