# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,-0.048932,-0.000000,0.000000,-4.799074,11.229272,-10.322563,4.336522,-0.692382,0.288623,0.000000,0.000000,-0.820992,0.495338,0.256356,-0.291536,0.066779,0.699907,0.000000,-0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.184906,0.390501,0.468277,-0.757158,0.161752,0.467665,-0.401190,0.093670,-0.238416,-0.288680,0.213524,0.346661,-0.176695,-0.117657,0.111907,-0.024632,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.284829,-0.191450,-0.338414,0.870391,-2.014906,2.070471,-0.931102,0.154843,0.090803,0.454369,-0.078876,-0.278794,0.051760,0.095654,-0.063600,0.012831,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.281908,-0.151862,0.262473,0.220394,0.123965,-0.582101,0.407888,-0.090179,0.093551,-0.451235,-0.130817,0.234201,0.006840,-0.070078,0.041691,-0.009221,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.180927,0.408868,-0.378865,-1.158730,4.627030,-6.232437,3.500398,-0.699148,-0.242076,0.284661,0.296008,-0.215696,0.042600,0.123866,-0.159414,0.048512,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
