# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,0.048933,0.000000,-0.000000,4.798976,-11.228963,10.322206,-4.336343,0.692349,-0.288624,0.000000,0.000000,0.820993,-0.495338,-0.256358,0.291538,-0.066779,0.699907,0.000000,-0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.184906,-0.390494,-0.468273,0.757018,-0.161403,-0.468017,0.401351,-0.093697,0.238416,0.288680,-0.213523,-0.346666,0.176703,0.117650,-0.111904,0.024632,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.284829,0.191453,0.338417,-0.870467,2.015120,-2.070714,0.931226,-0.154866,-0.090803,-0.454370,0.078876,0.278794,-0.051755,-0.095665,0.063607,-0.012832,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.281909,0.151868,-0.262485,-0.220543,-0.123456,0.581496,-0.407579,0.090121,-0.093551,0.451235,0.130818,-0.234210,-0.006827,0.070070,-0.041689,0.009221,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.180926,-0.408854,0.378857,1.158430,-4.626194,6.231553,-3.499984,0.699075,0.242076,-0.284662,-0.296010,0.215702,-0.042588,-0.123897,0.159435,-0.048517,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
