# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048933,0.000000,-0.000000,4.798976,-11.228963,10.322206,-4.336343,0.692349,0.411370,-0.000000,0.000000,0.821336,-0.496225,-0.255511,0.291188,-0.066726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184906,-0.390494,-0.468273,0.757018,-0.161403,-0.468017,0.401351,-0.093697,0.938425,0.288706,-0.213603,-0.346890,0.177315,0.117190,-0.111782,0.024625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.284829,0.191453,0.338417,-0.870467,2.015120,-2.070714,0.931226,-0.154866,0.609192,-0.454418,0.078901,0.279268,-0.052393,-0.095629,0.063842,-0.012909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281909,0.151868,-0.262485,-0.220543,-0.123456,0.581496,-0.407579,0.090121,0.606447,0.451375,0.130925,-0.235331,-0.005950,0.070527,-0.042339,0.009387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180926,-0.408854,0.378857,1.158430,-4.626194,6.231553,-3.499984,0.699075,0.942093,-0.284758,-0.296289,0.216865,-0.043435,-0.124196,0.159921,-0.048643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
