# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,0.288623,-0.000000,0.000000,-0.820992,0.495338,0.256356,-0.291536,0.066779,0.048932,-0.000000,-0.000000,4.798994,-11.229017,10.322265,-4.336372,0.692354,0.699907,0.000000,-0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.238416,-0.288680,0.213524,0.346661,-0.176695,-0.117657,0.111907,-0.024632,0.184906,-0.390495,-0.468276,0.757031,-0.161421,-0.468008,0.401350,-0.093698,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.090803,0.454369,-0.078876,-0.278794,0.051760,0.095654,-0.063600,0.012831,-0.284829,0.191453,0.338417,-0.870477,2.015145,-2.070739,0.931237,-0.154868,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.093551,-0.451235,-0.130817,0.234201,0.006840,-0.070078,0.041691,-0.009221,0.281909,0.151868,-0.262485,-0.220545,-0.123456,0.581501,-0.407583,0.090122,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.242076,0.284661,0.296008,-0.215696,0.042600,0.123866,-0.159414,0.048512,-0.180926,-0.408854,0.378860,1.158448,-4.626257,6.231626,-3.500020,0.699082,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
