# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.048932,-0.000000,0.000000,-4.799074,11.229272,-10.322563,4.336522,-0.692382,0.988591,-0.000000,-0.000000,-0.820001,0.493297,0.257867,-0.291987,0.066819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.184906,0.390501,0.468277,-0.757158,0.161752,0.467665,-0.401190,0.093670,0.461599,-0.288618,0.213395,0.345607,-0.174857,-0.118269,0.111638,-0.024504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284829,-0.191450,-0.338414,0.870391,-2.014906,2.070471,-0.931102,0.154843,0.790828,0.454115,-0.079121,-0.276396,0.049600,0.094828,-0.062124,0.012429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.281908,-0.151862,0.262473,0.220394,0.123965,-0.582101,0.407888,-0.090179,0.793510,-0.450686,-0.130014,0.230316,0.008759,-0.067905,0.039618,-0.008756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180927,0.408868,-0.378865,-1.158730,4.627030,-6.232437,3.500398,-0.699148,0.457966,0.284772,0.295252,-0.214829,0.042586,0.123375,-0.159133,0.048464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
