# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.490208,0.000000,0.000000,-2.245169,3.294451,-2.125960,0.662421,-0.078670,0.781578,0.000000,-0.000000,7.995077,-18.704785,17.191961,-7.221388,1.152845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.406003,-0.493212,0.542014,0.635206,-1.358721,1.243656,-0.550443,0.091710,1.008167,-0.650581,-0.780161,1.257533,-0.261088,-0.786114,0.670963,-0.156404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157300,0.750027,-0.254951,-0.279266,0.280184,-0.334349,0.196861,-0.038760,0.225264,0.318885,0.564497,-1.447978,3.349707,-3.441964,1.547894,-0.257424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153433,-0.742548,-0.169471,0.190852,0.249157,-0.220213,0.073532,-0.010260,1.169873,0.253141,-0.438076,-0.367635,-0.202197,0.963873,-0.676385,0.149641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.404744,0.468408,0.522940,-0.181682,-0.608257,1.012099,-0.668018,0.153974,0.398452,-0.681292,0.631508,1.928043,-7.703801,10.379461,-5.830399,1.164632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
