# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,-0.490208,0.000000,-0.000000,2.245177,-3.294465,2.125966,-0.662420,0.078669,-0.081553,0.000000,-0.000000,-7.998441,18.715405,-17.204214,7.227507,-1.153964,0.699907,0.000000,0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.406003,0.493213,-0.542019,-0.635237,1.358835,-1.243792,0.550512,-0.091722,-0.308177,0.650834,0.780462,-1.261901,0.269503,0.779536,-0.668696,0.156124,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.157300,-0.750024,0.254952,0.279215,-0.280056,0.334217,-0.196799,0.038749,0.474715,-0.319085,-0.564023,1.450684,-3.358273,3.450893,-1.551891,0.258081,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.153433,0.742549,0.169471,-0.190894,-0.249021,0.220050,-0.073447,0.010244,-0.469847,-0.253105,0.437457,0.367377,0.206448,-0.969990,0.679726,-0.150283,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.404745,-0.468403,-0.522946,0.181580,0.608575,-1.012452,0.668189,-0.154005,0.301544,0.681444,-0.631442,-1.931153,7.711551,-10.387224,5.833918,-1.165232,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
