# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.600000,-0.081553,0.000000,0.000000,-7.998465,18.715477,-17.204293,7.227545,-1.153970,0.490208,0.000000,-0.000000,-2.245169,3.294451,-2.125960,0.662421,-0.078670,0.699907,0.000000,0.000000,0.002885,-0.003201,-0.001093,0.002191,-0.000605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.308177,0.650835,0.780466,-1.261916,0.269515,0.779537,-0.668701,0.156126,-0.406003,-0.493212,0.542014,0.635206,-1.358722,1.243657,-0.550444,0.091710,0.699813,0.000716,0.002097,-0.004865,0.001140,0.002169,-0.001326,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.474715,-0.319086,-0.564023,1.450702,-3.358312,3.450928,-1.551905,0.258084,0.157300,0.750027,-0.254951,-0.279266,0.280184,-0.334349,0.196861,-0.038760,0.699942,0.000770,0.000449,-0.003068,0.001329,0.001405,-0.001135,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,-0.469847,-0.253105,0.437456,0.367374,0.206457,-0.970000,0.679732,-0.150284,0.153433,-0.742548,-0.169471,0.190852,0.249157,-0.220214,0.073532,-0.010260,0.699989,0.000560,-0.000065,-0.001757,0.000838,0.000986,-0.000781,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.600000,0.301545,0.681444,-0.631445,-1.931162,7.711596,-10.387281,5.833948,-1.165238,-0.404744,0.468408,0.522940,-0.181682,-0.608257,1.012099,-0.668018,0.153974,0.700074,0.000490,-0.000650,-0.002459,0.002200,0.002212,-0.002704,0.000699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
